宣州 xuanzhou
郎溪 langxi
广德 guangde
泾县 jingxian
绩溪 jixi
旌德 jingde
宁国 ningguo
鼓楼 gulou
台江 taijiang
仓山 cangshan
马尾 mawei
晋安 jinan
闽侯 minhou
连江 lianjiang
罗源 luoyuan
闽清 minqing
永泰 yongtai
平潭 pingtan
福清 fuqing
长乐 changle
思明 siming
海沧 haicang
湖里 huli
集美 jimei
同安 tongan
翔安 xiangan
城厢 chengxiang
涵江 hanjiang
荔城 licheng
秀屿 xiuyu
仙游 xianyou
梅列 meilie
三元 sanyuan
明溪 mingxi
清流 qingliu
宁化 ninghua
大田 datian
尤溪 youxi
沙县 shaxian
将乐 jiangle
泰宁 taining
建宁 jianning
永安 yongan
